label,blue,L
ring,blue,L
note,blue,N
flag,blue,L
uniform,blue,L
shark,blue,N
line,blue,L
fish,blue,L
filter,blue,L
book,blue,L
eye,blue,L
helmet,blue,L
shield,blue,N
ball,blue,L
bin,blue,L
dress,blue,L
ground,blue,L
colour,blue,L
vinyl,blue,L
color,blue,L
square,blue,L
logo,blue,L
car,blue,L
laser,blue,L
thing,blue,L
wave,blue,L
area,blue,L
field,blue,L
pill,blue,L
planet,blue,N
link,blue,L
cheese,blue,N
flash,blue,L
pencil,blue,N
state,blue,N
triangle,blue,L
face,blue,L
hat,blue,N
hair,blue,L
bag,blue,L
egg,brown,L
colour,brown,L
leather,brown,L
butterfly,brown,L
shirt,brown,L
spot,brown,L
wing,brown,L
band,brown,L
fox,brown,L
coal,brown,N
coat,brown,L
rat,brown,N
soil,brown,L
clay,brown,L
skin,yellow,N
scheme,yellow,L
stripe,yellow,L
wall,yellow,L
flag,yellow,L
dress,yellow,L
ball,yellow,L
panel,yellow,L
form,yellow,L
house,yellow,L
coat,yellow,L
line,yellow,L
strip,yellow,L
duck,yellow,L
future,green,N
forest,green,L
wall,green,N
politics,green,N
flag,green,L
form,green,L
filter,green,L
icon,green,L
belt,green,L
space,green,L
spot,green,L
coat,green,L
room,green,L
stone,green,L
technology,green,N
energy,green,N
skin,green,L
market,green,N
electricity,green,N
party,green,N
signal,green,N
valley,green,L
image,green,L
issue,green,N
supplier,green,N
ribbon,green,L
ink,green,L
hill,green,L
cloth,green,L
circle,green,L
development,green,N
channel,green,N
movement,green,N
earth,green,N
card,green,L
business,green,N
company,green,N
head,green,L
group,green,N
laser,green,L
tea,green,N
service,green,N
extract,green,L
product,green,L
idea,green,N
feather,black,L
sack,black,L
taxi,black,L
page,black,L
vinyl,black,N
athlete,black,N
outfit,black,L
friend,black,N
boot,black,L
fur,black,L
staff,black,N
side,black,L
student,black,N
paper,black,L
mayor,black,N
cat,black,L
form,black,L
sky,black,L
prisoner,black,N
case,black,L
patient,black,N
sleeve,black,L
scale,black,L
citizen,black,N
hand,black,N
employee,black,N
life,black,N
short,black,L
plastic,black,L
business,black,N
experience,black,N
circle,black,L
dragon,black,L
flag,black,L
vote,black,N
box,black,L
ice,black,N
artist,black,N
card,black,L
project,black,N
colour,black,L
culture,black,N
interior,black,L
cartridge,black,L
cab,black,L
trouser,black,L
propaganda,black,N
market,black,N
slave,black,N
hole,black,N
mass,black,N
border,black,L
glass,black,L
art,black,N
cap,black,L
stripe,black,L
line,black,L
manager,black,N
stone,black,L
movie,black,N
shape,black,L
cross,black,L
seed,black,L
boy,black,N
beach,black,N
horse,black,L
metal,black,L
soldier,black,N
wing,black,L
sheet,black,L
streak,black,L
candidate,black,N
triangle,black,L
powder,black,L
movement,black,N
bill,black,L
issue,black,N
figure,black,L
member,black,N
bean,black,N
male,black,N
arrow,black,L
top,black,L
ink,black,L
heart,black,N
strap,black,L
patch,black,L
cloud,black,L
knight,black,N
image,black,L
sand,black,L
work,black,N
plate,black,L
neighborhood,black,N
frame,black,L
towel,white,L
copy,white,L
car,white,L
mother,white,N
point,white,L
clay,white,L
cell,white,N
job,white,N
musician,white,N
hat,white,L
girl,white,N
cottage,white,L
dog,white,L
gate,white,L
space,white,N
ground,white,N
scheme,white,L
overall,white,L
fence,white,L
flour,white,N
interior,white,L
star,white,L
rice,white,N
rabbit,white,L
body,white,N
marble,white,L
van,white,L
shoe,white,L
cheese,white,N
clothes,white,L
floor,white,L
triangle,white,L
side,white,L
pepper,white,N
snow,white,L
person,white,N
belt,white,L
screen,white,L
clothing,white,L
ring,white,L
top,white,L
bit,white,L
sleeve,white,L
actor,white,N
smile,white,N
male,white,N
sand,white,L
elephant,white,L
tape,white,L
hand,white,N
ribbon,white,L
butterfly,white,L
soldier,white,N
flash,white,L
hole,white,N
label,white,L
eye,white,L
group,white,N
worker,white,N
cloud,white,L
light,white,L
text,white,L
government,white,N
smoke,white,L
plate,white,L
mouse,white,L
parent,white,N
square,white,L
family,white,N
tile,white,L
band,white,L
bar,white,L
gold,white,N
curtain,white,L
dial,white,L
father,white,N
kid,white,N
house,white,N
bean,white,N
circle,white,L
wine,white,N
lady,white,N
meat,red,N
disc,red,L
tower,red,L
belt,red,N
soil,red,L
signal,red,N
colour,red,L
strip,red,L
button,red,L
hat,red,L
color,red,L
dragon,red,L
arrow,red,L
sandstone,red,L
flame,red,L
shield,red,L
district,red,N
oak,red,N
door,red,L
dress,red,L
glass,red,L
wall,red,L
roof,red,L
granite,red,N
list,red,N
blood,red,L
building,red,L
number,red,L
boot,red,L
wire,red,L
letter,red,L
flash,red,L
flower,red,L
nose,red,N
water,red,L
label,red,L
marble,red,N
section,red,L
scheme,red,L
devil,red,L
face,red,N
car,red,L
flag,red,L
cliff,red,L
ant,red,N
army,red,N
version,red,L
thread,red,L
symbol,red,L
feather,red,L
tip,red,L
ball,red,L
